Algorithm,Size,Seed,Time(ms),Swaps,Iterations
QuickSort,1000,1,1,00,6775,11523
GnomeSort,1000,1,4,91,245243,491486
QuickSort,1000,2,0,13,6041,10564
GnomeSort,1000,2,1,23,254380,509760
QuickSort,1000,3,0,08,6166,11115
GnomeSort,1000,3,2,22,250812,502624
QuickSort,1000,4,0,09,6476,12468
GnomeSort,1000,4,1,58,246154,493308
QuickSort,1000,5,0,07,6209,10453
GnomeSort,1000,5,1,64,242099,485198
QuickSort,10000,1,0,59,91107,160174
GnomeSort,10000,1,70,67,24914821,49839642
QuickSort,10000,2,0,70,77794,152635
GnomeSort,10000,2,70,11,24833858,49677716
QuickSort,10000,3,0,69,82603,161639
GnomeSort,10000,3,70,74,25028958,50067916
QuickSort,10000,4,0,70,82499,154641
GnomeSort,10000,4,76,28,25072594,50155188
QuickSort,10000,5,0,70,81513,150432
GnomeSort,10000,5,74,18,25336107,50682214
QuickSort,100000,1,8,63,1022137,1916442
GnomeSort,100000,1,7011,95,2511106515,5022313030
QuickSort,100000,2,8,33,1017988,1915091
GnomeSort,100000,2,6945,02,2492436184,4984972368
QuickSort,100000,3,8,55,1030554,2004394
GnomeSort,100000,3,7012,34,2495655308,4991410616
QuickSort,100000,4,8,29,1030643,2033765
GnomeSort,100000,4,6956,05,2501156337,5002412674
QuickSort,100000,5,8,41,1115670,2036860
GnomeSort,100000,5,6931,59,2504436724,5008973448
QuickSort,500000,1,46,90,5863207,11967566
GnomeSort,500000,1,173522,27,62493929685,124988359370
QuickSort,500000,2,46,72,6053614,11999121
GnomeSort,500000,2,174123,14,62446728205,124893956410
QuickSort,500000,3,47,00,5991585,11467503
GnomeSort,500000,3,176332,23,62500784030,125002068060
QuickSort,500000,4,46,77,5717767,12283457
GnomeSort,500000,4,182064,20,62431321328,124863142656
QuickSort,500000,5,48,22,5991189,11488906
GnomeSort,500000,5,178258,31,62492638007,124985776014
QuickSort,1000000,1,99,53,11932738,24803169
GnomeSort,1000000,1,723963,79,250005517094,500012034188
QuickSort,1000000,2,100,44,13975951,25552144
GnomeSort,1000000,2,723868,42,249846176571,499693353142
QuickSort,1000000,3,98,45,13648814,24624859
GnomeSort,1000000,3,690488,99,249835092306,499671184612
QuickSort,1000000,4,98,42,13075296,25946998
GnomeSort,1000000,4,712689,46,249909765468,499820530936
QuickSort,1000000,5,99,99,13488054,24357829
GnomeSort,1000000,5,711642,71,250053914853,500108829706
